run_id,run_class,workflow,cache_mode,seed_provenance,git_commit,scheme,totalQueries,measurableQueries,DomainAcc,Recall_at_1,Recall_at_k,DocHit_at_1_singleton,mean_relset_size,singleton_queries,meanSSR,P50_ms,P95_ms,mean_hops,ctrl_bytes_per_sec,ctrl_pkts_per_sec,avg_FIB_entries,avg_LSDB_entries,unique_hops_values,partition_detected,failure_effective,ssr_mean,ssr_p50,ssr_p95,cache_hit_exact_ratio,cache_hit_semantic_ratio,semantic_hit_ratio
fig5-failure-paper-grade-20260311c-iroute-link-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,63,56,0.7321,0.2143,1.0000,0.0000,27.9821,3,0.657309,16.8494,17.0414,2.00,6105.81,9.56,21,32,1,0,1,0.668708,0.727679,0.835086,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.3720,11.0908,0.00,767.88,3.72,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,62,55,1.0000,1.0000,1.0000,1.0000,28.4182,3,0.887097,10.3567,11.0908,0.00,754.50,3.66,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.1500,11.4381,0.00,767.88,3.72,19,1,0,1,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,63,56,0.5357,0.1786,0.5536,0.0000,27.9821,3,0.573498,16.8944,4018.0188,2.00,5921.06,7.88,18,0,1,0,1,0.594026,0.657474,0.791370,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,58,51,0.4706,0.1765,0.4706,0.0000,22.7255,3,0.568687,17.0449,4018.6318,2.00,5401.62,7.25,18,0,1,0,1,0.591268,0.657457,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,63,56,0.5179,0.1786,0.5357,0.0000,27.9821,3,0.574218,16.8817,4018.3658,2.00,5948.69,7.88,18,0,1,0,1,0.595474,0.661904,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,63,56,0.7857,0.2143,0.9464,0.0000,27.9821,3,0.723318,16.8365,17.0324,2.00,6118.72,9.59,21,32,1,0,1,0.730011,0.750733,0.822569,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,55,49,0.4286,0.1429,1.0000,0.0000,23.3673,3,0.709692,4018.0188,4018.0189,2.00,5336.16,7.44,21,32,1,0,1,0.715504,0.726836,0.819913,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,63,56,0.7321,0.2143,1.0000,0.0000,27.9821,3,0.657309,16.8494,17.0414,2.00,6105.81,9.56,21,32,1,0,1,0.668708,0.727679,0.835086,0.000000,0.000000,0.000000
