# Rocketfuel topology converted to ndnSIM format
# Nodes: 1200, Links: 860
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node402	Relay+MD	62	78
Node403	Cheyenne+WY	28	18
Node404	Atlanta+GA	52	9
Node405	Stockton+CA	72	105
Node406	Anaheim+CA	26	3
Node407	Cheyenne+WY	30	18
Node408	T	78	111
Node409	Chicago+IL	90	21
Node410	Atlanta+GA	54	9
Node411	Anaheim+CA	28	3
Node412	Chicago+IL	92	21
Node413	Washington+DC	18	120
Node414	Cheyenne+WY	32	18
Node415	Relay+MD	64	78
Node416	Dallas+TX	102	27
Node417	Anaheim+CA	30	3
Node418	Roachdale+IN	14	87
Node419	Chicago+IL	94	21
Node420	Atlanta+GA	56	9
Node421	Dallas+TX	104	27
Node422	Chicago+IL	96	21
Node423	Cheyenne+WY	34	18
Node424	New+York+NY	40	60
Node425	Dallas+TX	106	27
Node426	Cheyenne+WY	36	18
Node427	Stockton+CA	74	105
Node428	Atlanta+GA	58	9
Node429	Anaheim+CA	32	3
Node430	Cheyenne+WY	38	18
Node431	Atlanta+GA	60	9
Node432	Relay+MD	66	78
Node433	Chicago+IL	98	21
Node434	Kansas+City+MO	36	42
Node435	Cheyenne+WY	40	18
Node436	Chicago+IL	100	21
Node437	Stockton+CA	76	105
Node438	Roachdale+IN	16	87
Node439	Chicago+IL	102	21
Node440	Chicago+IL	104	21
Node441	Pennsauken+NJ	86	72
Node442	Atlanta+GA	62	9
Node443	Atlanta+GA	64	9
Node444	New+York+NY	42	60
Node445	Atlanta+GA	66	9
Node446	Dallas+TX	108	27
Node447	Pearl+Harbor+HI	0	69
Node448	Pennsauken+NJ	88	72
Node449	Relay+MD	68	78
Node450	Kansas+City+MO	38	42
Node451	Chicago+IL	106	21
Node452	Anaheim+CA	34	3
Node453	Dallas+TX	110	27
Node454	Dallas+TX	112	27
Node455	Orlando+FL	18	63
Node456	Anaheim+CA	36	3
Node457	New+York+NY	44	60
Node458	Chicago+IL	108	21
Node459	Anaheim+CA	38	3
Node460	Atlanta+GA	68	9
Node461	Atlanta+GA	70	9
Node462	Dallas+TX	114	27
Node463	Dallas+TX	116	27
Node464	Cheyenne+WY	42	18
Node465	Dallas+TX	118	27
Node466	Dallas+TX	120	27
Node467	Anaheim+CA	40	3
Node468	Anaheim+CA	42	3
Node469	Chicago+IL	110	21
Node470	Chicago+IL	112	21
Node471	Cheyenne+WY	44	18
Node472	Relay+MD	70	78
Node473	Seattle+WA	26	93
Node474	Stockton+CA	78	105
Node475	Chicago+IL	114	21
Node476	Chicago+IL	116	21
Node477	Atlanta+GA	72	9
Node478	Orlando+FL	20	63
Node479	Kansas+City+MO	40	42
Node480	Chicago+IL	118	21
Node481	Kansas+City+MO	42	42
Node482	Chicago+IL	120	21
Node483	Tacoma+WA	12	114
Node484	Stockton+CA	80	105
Node485	Chicago+IL	122	21
Node486	Anaheim+CA	44	3
